Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.421,14,24,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1
Bam Adebayo,PF,22,MIA,72,2417,20.3,0.598,0.018,0.484,8.5,24.9,17,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2,3.4,3.3
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.571,0.198,0.241,6.3,17.8,12,11.4,1,4.4,7.8,23.4,3,1.4,4.5,0.122,1.8,-0.5,1.4,1.5
Kyle Alexander,PF,23,MIA,2,13,4.7,0.5,0,0,17.9,8.3,12.9,0,0,0,33.3,10.2,0,0,0,-0.003,-6.1,-3.5,-9.6,0
Nickeil Alexander-Walker,SG,21,NOP,47,591,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4
Grayson Allen,SG,24,MEM,38,718,12,0.609,0.562,0.179,1.2,11.1,6.2,10,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1
Jarrett Allen,C,21,BRK,70,1852,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1,2.3,2
Kadeem Allen,SG,27,NYK,10,117,14,0.512,0.364,0.25,1.8,6.6,4.1,27,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,-0.1,-0.6,-0.7,0
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3,-0.1
Justin Anderson,SF,26,BRK,10,107,3.2,0.352,0.763,0.105,1,18.9,10.2,10.1,0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-0.9,-7.7,-0.2
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2,0.5,0.9
Ryan Anderson,C,31,HOU,2,14,9.4,0.357,0.714,0,0,52.9,26.2,20.4,3.3,0,12.5,23.7,0,0,0,-0.037,-3.3,0.5,-2.8,0
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3,13.2,37.5,6.1,5,11.1,0.279,7.4,4.1,11.5,6.6
Kostas Antetokounmpo,PF,22,LAL,5,20,16.3,0.902,0,0.667,11.1,5.4,8.2,13.7,0,0,20.5,10.3,0.1,0,0.1,0.193,0.2,-0.9,-0.7,0
Thanasis Antetokounmpo,SF,27,MIL,20,129,12.2,0.496,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.206,4,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8
OG Anunoby,SF,22,TOR,69,2066,13.2,0.6,0.403,0.18,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,2.1,3.7,5.7,0.134,-0.8,1.9,1.2,1.7
Ryan Arcidiacono,PG,25,CHI,58,930,9,0.551,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.071,-2.7,-0.1,-2.8,-0.2
Trevor Ariza,SF,34,TOT,53,1493,11,0.593,0.639,0.228,2.5,15.7,9,8,2.2,0.9,13.6,11.8,1.3,1.2,2.5,0.081,-1.4,0.9,-0.5,0.5
Trevor Ariza,SF,34,SAC,32,791,9.4,0.543,0.739,0.164,2.9,18.2,10.4,8.3,2.1,0.8,13.7,11.2,0.3,0.8,1.1,0.066,-1.9,1.3,-0.7,0.3
Trevor Ariza,SF,34,POR,21,702,12.8,0.643,0.535,0.296,2,12.8,7.4,7.6,2.3,1,13.5,12.5,1,0.4,1.4,0.098,-0.9,0.4,-0.4,0.3
D.J. Augustin,PG,32,ORL,57,1420,14,0.554,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,2,0.9,2.9,0.098,-0.3,-1.3,-1.6,0.2
Deandre Ayton,C,21,PHO,38,1236,20,0.568,0.023,0.157,13,26.3,19.6,9.7,1,4.1,11.6,23.7,1.5,1.6,3.1,0.121,0.8,-0.4,0.4,0.7
Dwayne Bacon,SG,24,CHO,39,687,6.1,0.419,0.275,0.217,2.3,14,7.9,11.7,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8
Marvin Bagley III,PF,20,SAC,13,334,15.6,0.512,0.132,0.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,0,0.3,0.4,0.051,-2.2,-1.3,-3.5,-0.1
Lonzo Ball,PG,22,NOP,63,2025,13.1,0.517,0.575,0.111,3.7,16.4,10,29.1,2,1.6,21.1,18.5,0.4,2,2.4,0.058,0.1,0.6,0.6,1.3
Mo Bamba,C,21,ORL,62,878,17.5,0.542,0.374,0.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,0.8,1.7,2.5,0.135,-1.2,1.6,0.4,0.5
J.J. Barea,PG,35,DAL,29,450,14.6,0.512,0.411,0.106,2.4,9.9,6.2,37.1,0.5,0.4,14.9,24.2,0.5,0.2,0.7,0.072,1.6,-3,-1.4,0.1
Harrison Barnes,PF,27,SAC,72,2482,13.3,0.574,0.338,0.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,3.4,1.1,4.6,0.088,0,-1.3,-1.3,0.5
RJ Barrett,SG,19,NYK,56,1704,10.7,0.479,0.271,0.349,3,14.8,8.7,12.8,1.6,0.9,12.9,24,-1.6,1.1,-0.5,-0.015,-2.9,-1.5,-4.3,-1
Will Barton,SF,29,DEN,58,1916,15.6,0.549,0.39,0.18,4.5,16.9,10.7,16,1.6,1.4,9.9,20.1,2.4,1.8,4.2,0.106,1.2,-0.2,1.1,1.5
Keita Bates-Diop,SF,24,TOT,44,744,12.4,0.539,0.44,0.321,3.5,15.1,9.1,5.8,1.2,2.7,6,15.8,0.6,0.6,1.2,0.078,-1,-0.4,-1.4,0.1
Keita Bates-Diop,SF,24,MIN,37,646,12.5,0.535,0.456,0.316,3.3,15.1,9,6.7,1.2,2.6,5.6,15.8,0.6,0.5,1,0.077,-0.8,-0.1,-0.9,0.2
Keita Bates-Diop,SF,24,DEN,7,98,12.1,0.571,0.321,0.357,4.6,14.8,9.7,0,1,3.8,8.5,15.7,0.1,0.1,0.2,0.084,-2.2,-2.7,-4.9,-0.1
Nicolas Batum,SF,31,CHO,22,505,9.2,0.463,0.605,0.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,0.2,0.4,0.6,0.055,-2.8,0.9,-1.9,0
Aron Baynes,C,33,PHO,42,934,15.2,0.581,0.441,0.197,8.3,20,14.1,10.9,0.5,2.1,10.8,21.1,1.3,0.8,2.1,0.107,-0.2,-0.8,-1,0.2
Kent Bazemore,SF-SG,30,TOT,68,1688,9.3,0.499,0.457,0.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,-0.9,1.5,0.6,0.017,-3.4,0.3,-3.1,-0.5
Kent Bazemore,SF,30,POR,43,1111,7.5,0.475,0.525,0.221,1.2,14.8,8.1,7.1,1.9,2.4,14.4,15.9,-1,0.8,-0.2,-0.008,-3.6,0.4,-3.2,-0.3
Kent Bazemore,SG,30,SAC,25,577,12.6,0.533,0.351,0.361,2.7,21.6,11.9,8,2.4,1.5,11.4,20.4,0.1,0.7,0.8,0.065,-3,0.3,-2.8,-0.1
Darius Bazley,PF,19,OKC,61,1130,9.6,0.497,0.445,0.196,3,20.5,12,5.1,1,3.1,11.6,15.1,-0.5,1.5,1,0.041,-2.1,0.5,-1.6,0.1
Bradley Beal,SG,26,WAS,57,2053,23.2,0.579,0.369,0.351,2.7,10.5,6.4,29.5,1.6,1,11.4,34.4,4.5,0.6,5.1,0.118,5.3,-2.4,2.9,2.5
Malik Beasley,SG,23,TOT,55,1209,12.7,0.546,0.517,0.124,1.6,11.9,6.7,9.4,1.6,0.6,9.2,21.8,0.4,0.8,1.2,0.049,-0.7,-1.4,-2.1,0
Malik Beasley,SG,23,DEN,41,746,10.5,0.511,0.535,0.126,1.4,10.2,5.8,9.1,2.1,0.7,10.2,20.6,-0.2,0.6,0.5,0.03,-2.2,-0.7,-2.9,-0.2
Malik Beasley,SG,23,MIN,14,463,16.2,0.591,0.494,0.12,2,14.7,8.1,9.8,0.9,0.4,7.9,23.7,0.5,0.2,0.8,0.079,1.7,-2.4,-0.7,0.2
Marco Belinelli,SG,33,SAS,57,883,10.8,0.532,0.567,0.185,0.9,11.2,6,10.7,0.6,0.1,5.3,17.5,0.7,0.2,0.8,0.046,-0.7,-2,-2.7,-0.2
Jordan Bell,C-PF,25,TOT,29,256,13.9,0.577,0.179,0.463,12,21.8,16.7,8.9,0.5,3.2,20.7,16.4,0.2,0.2,0.4,0.07,-1.4,-1.1,-2.5,0
Jordan Bell,C,25,MIN,27,235,14.1,0.57,0.15,0.483,12.1,23.3,17.5,8.6,0.4,3.5,19.8,15.9,0.2,0.2,0.4,0.072,-1.5,-1.1,-2.6,0
Jordan Bell,PF,25,MEM,2,21,12.6,0.635,0.429,0.286,10.2,4.9,7.5,12.9,2.2,0,27.6,21.6,0,0,0,0.047,-0.5,-1,-1.5,0
DeAndre' Bembry,SG,25,ATL,43,915,9.6,0.5,0.285,0.211,4,14.1,8.9,12.3,2.8,1.7,19.4,14,-0.5,0.8,0.2,0.012,-3.5,1.1,-2.5,-0.1
Dragan Bender,SF,22,TOT,16,286,10.9,0.545,0.467,0.152,5.9,21.1,13.5,14.4,0.7,2.8,17.6,17.7,0,0.3,0.3,0.052,-3,0.1,-3,-0.1
Dragan Bender,SF,22,MIL,7,91,8.4,0.582,0.429,0.143,0,20.5,10.9,12.5,0,4.8,18.3,12.4,0,0.2,0.2,0.105,-4.4,3,-1.4,0
Dragan Bender,SF,22,GSW,9,195,12.1,0.534,0.479,0.155,8.6,21.3,14.7,15.2,1,1.8,17.4,20.1,0,0.1,0.1,0.027,-2.4,-1.2,-3.7,-0.1
Dāvis Bertāns,PF,27,WAS,54,1583,15.5,0.628,0.774,0.2,2.3,15.1,8.5,8.4,1.1,1.8,8.2,19,3,0.5,3.5,0.107,2.7,-1.8,0.9,1.1
Patrick Beverley,PG,31,LAC,51,1342,12.5,0.56,0.604,0.138,4.5,15.8,10.3,18.2,1.9,1.6,15.4,13.3,1.6,2,3.6,0.128,-0.3,2.5,2.2,1.4
Khem Birch,C,27,ORL,48,922,11.7,0.566,0.007,0.706,10.3,15.6,12.9,7.3,1.1,2.3,14.2,10.2,1.2,0.9,2.2,0.112,-2.5,0.2,-2.4,-0.1
Goga Bitadze,C,20,IND,54,471,12.1,0.523,0.28,0.22,5.9,18.7,12.3,6.7,1,6.9,14.5,17.9,-0.1,0.8,0.7,0.067,-4.1,1.8,-2.3,0
Bismack Biyombo,C,27,CHO,53,1029,16.1,0.57,0,0.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,1.5,0.9,2.4,0.113,-1.8,-0.7,-2.5,-0.1
Nemanja Bjelica,PF,31,SAC,72,2011,15.7,0.602,0.49,0.129,6.1,19.9,12.8,14.7,1.5,1.9,12.5,17,3.4,1.9,5.3,0.127,1.2,0.5,1.7,1.9
Eric Bledsoe,PG,30,MIL,61,1646,17.6,0.571,0.306,0.304,2.8,13.5,8.5,28.7,1.6,1.4,15.7,23.7,2.4,3,5.4,0.157,0.8,1.1,1.8,1.6
Bogdan Bogdanović,SG,27,SAC,61,1766,15.1,0.565,0.576,0.151,1.6,11.8,6.6,18,1.8,0.8,11.1,22.6,1.8,1.3,3.1,0.084,1.2,-0.5,0.6,1.2
Bojan Bogdanović,SF,30,UTA,63,2083,15.6,0.603,0.489,0.296,2.1,11.2,6.8,10,0.8,0.3,13.1,25.5,2.6,1.6,4.2,0.096,1.6,-1.5,0.1,1.1
Bol Bol,SF,20,DEN,7,87,14.4,0.617,0.321,0.357,6.4,18,12.2,9.8,1.1,6.4,23.6,21.2,0,0.1,0.1,0.063,-2.1,-0.7,-2.9,0
Jonah Bolden,PF,24,TOT,7,47,4.9,0.392,0.364,0.364,7,14.3,10.6,0,3,3.7,13.6,13.4,-0.1,0.1,0,-0.006,-8.7,-0.1,-8.8,-0.1
Jonah Bolden,PF,24,PHI,4,14,-2,0.515,0.333,0.667,0,7.9,3.9,0,3.5,0,34,18.1,-0.1,0,0,-0.15,-13.9,-0.7,-14.5,0
Jonah Bolden,PF,24,PHO,3,33,7.9,0.338,0.375,0.25,10,17,13.5,0,2.9,5.3,0,11.4,0,0.1,0,0.054,-6.5,0.2,-6.3,0
Marques Bolden,C,21,CLE,1,3,19.8,,,,0,74.7,37,0,16.2,0,,0,0,0,0,0.282,-5.9,11.3,5.4,0
Jordan Bone,PG,22,DET,10,53,0.8,0.3,0.5,0,0,8.7,4.3,21,0.9,0,9.1,18.1,-0.1,0,-0.1,-0.117,-9.1,-2.8,-11.9,-0.1
Isaac Bonga,SF,20,WAS,66,1250,10.2,0.608,0.303,0.363,6,13.8,9.7,7.9,1.7,1.5,17.6,11,1.2,0.6,1.8,0.068,-2.7,-0.1,-2.8,-0.3
Devin Booker,SG,23,PHO,70,2512,20.6,0.618,0.31,0.397,1.3,12,6.6,30,0.9,0.6,14.9,30,6,1.5,7.5,0.143,3.4,-1.3,2.2,2.6
Chris Boucher,PF,27,TOR,62,819,20.7,0.587,0.395,0.388,14.1,21.4,17.9,4.8,1.3,7.3,7.4,19.7,2.1,1.8,3.8,0.224,1,1,2,0.8
Brian Bowen,SG,21,IND,6,31,0.1,0.3,0.2,0,3.6,21,12.4,0,0,2.8,9.1,15.6,-0.1,0,-0.1,-0.107,-9.1,-1.6,-10.7,-0.1
Ky Bowman,PG,22,GSW,45,1015,9.1,0.494,0.333,0.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,-0.6,0.6,-0.1,-0.003,-4,-0.3,-4.3,-0.6
Avery Bradley,SG,29,LAL,49,1186,8.9,0.537,0.452,0.063,1.7,8.9,5.3,7.2,1.7,0.4,10.7,15.7,0.2,1.4,1.5,0.062,-3,0.5,-2.5,-0.2
Tony Bradley,C,22,UTA,58,663,21.7,0.681,0.016,0.243,19.1,25,22.2,5.4,1,4.1,12.5,15.8,2.2,1.1,3.3,0.236,1,0.3,1.3,0.6
Jarrell Brantley,PF,23,UTA,9,96,8,0.416,0.464,0.071,2.4,19.9,11.5,15.8,1.5,4.3,19.5,16.3,-0.2,0.1,0,-0.006,-5.3,0.7,-4.6,-0.1
Ignas Brazdeikis,SF,21,NYK,9,53,3.2,0.351,0.409,0.227,3.9,6.2,5,10.6,0,1.8,7.6,21,-0.1,0,-0.1,-0.108,-5.1,-3.9,-9,-0.1
Corey Brewer,SG,33,SAC,5,33,8.7,0.47,0.25,0.75,6.7,21,13.6,7.7,5.9,0,27.3,9.6,0,0.1,0,0.064,-6.9,3.8,-3.1,0
Mikal Bridges,SF,23,PHO,73,2042,12.9,0.62,0.401,0.252,3.5,12.4,7.9,8.6,2.4,2,12,12.7,2.5,2.3,4.8,0.113,-0.6,1.5,0.8,1.5
Miles Bridges,SF,21,CHO,65,1995,12.1,0.52,0.398,0.174,4.6,15.6,9.9,9.4,1,2.2,10.5,20,0.3,1.3,1.6,0.039,-1.5,-1,-2.5,-0.3
Oshae Brissett,SF,21,TOR,19,135,6.7,0.458,0.417,0.278,7.2,13,10.2,7,1.4,0.7,14.8,15,-0.1,0.2,0.1,0.043,-5.8,0.4,-5.4,-0.1
Ryan Broekhoff,SG,29,DAL,17,180,13.1,0.568,0.864,0.136,3,21.9,12.5,8.3,1.3,1.9,8.8,16.3,0.2,0.2,0.4,0.109,0.4,0.3,0.7,0.1
Malcolm Brogdon,PG,27,IND,54,1666,17.7,0.541,0.309,0.25,3.1,14.1,8.6,33.8,1,0.5,13.7,25.2,2.3,1.7,4,0.114,2.3,-0.5,1.8,1.6
Dillon Brooks,SG,24,MEM,73,2112,11.3,0.51,0.385,0.19,3.5,8.6,6.1,10.5,1.4,1.1,9.7,25.2,-0.4,1.6,1.2,0.027,-2.6,-1.4,-4.1,-1.1
Bruce Brown,SG,23,DET,58,1634,11.9,0.518,0.215,0.266,4.2,15,9.5,20.4,1.9,1.5,16.7,16,0.7,1.4,2.1,0.062,-2,0.8,-1.2,0.3
Charlie Brown,SG,22,ATL,10,40,11,0.472,0.474,0.263,5.3,5.5,5.4,7.3,2.3,4.2,12.4,25.1,0,0,0,-0.028,-1.1,-1.4,-2.5,0
Jaylen Brown,SF,23,BOS,57,1934,16.9,0.583,0.381,0.274,3.5,16.5,10.1,9.7,1.6,1,11.2,24.7,2.3,2.6,4.9,0.123,1,-0.2,0.8,1.4
Moses Brown,C,20,POR,9,33,6.7,0.407,0,0.8,9.6,34.5,22.2,4,1.4,2.6,18.2,21.2,-0.1,0,0,-0.065,-8.2,-1.8,-10,-0.1
Sterling Brown,SF,24,MIL,52,767,9.5,0.486,0.531,0.156,4.3,18.5,11.8,8.6,1.7,0.8,13.3,17,-0.4,1.5,1.1,0.07,-3,1,-2,0
Troy Brown Jr.,SG,20,WAS,69,1782,13.7,0.524,0.288,0.223,4.5,19.6,11.7,14.1,2.2,0.3,10.4,17.8,1.3,1.2,2.4,0.065,-0.8,-0.4,-1.3,0.3
Jalen Brunson,PG,23,DAL,57,1022,14.9,0.553,0.309,0.193,2.3,11.3,6.9,27,1,0.3,13.6,20.4,1.6,0.6,2.1,0.101,0.1,-1,-0.9,0.3
Thomas Bryant,C,22,WAS,46,1147,21.1,0.649,0.218,0.278,9,23.1,15.8,11.1,1,3.7,10.2,18.9,3.1,0.8,3.9,0.164,2.9,-0.7,2.2,1.2
Reggie Bullock,SG,28,NYK,29,684,9.3,0.502,0.496,0.094,2,8.8,5.3,8.8,1.8,0.4,7.5,15.6,0.2,0.3,0.5,0.036,-2.8,-0.3,-3,-0.2
Trey Burke,PG,27,TOT,33,520,15.6,0.548,0.359,0.139,3.4,7,5.2,23.7,1.5,0.3,8.7,20,1,0.4,1.3,0.123,0.8,-1,-0.2,0.2
Trey Burke,PG,27,PHI,25,329,15.4,0.545,0.299,0.142,5,6.7,5.9,23.9,1,0.3,8.2,19.2,0.6,0.2,0.9,0.127,0.7,-1.2,-0.5,0.1
Trey Burke,PG,27,DAL,8,191,16,0.553,0.451,0.134,0.6,7.6,4.1,23.2,2.3,0.4,9.4,21.4,0.3,0.2,0.5,0.117,1,-0.8,0.2,0.1
Alec Burks,SG,28,TOT,66,1754,16.7,0.561,0.392,0.345,2.9,14.9,8.7,17.2,1.7,0.9,9.3,23.8,2.5,1.2,3.7,0.101,1.2,-0.7,0.5,1.1
Alec Burks,SG,28,GSW,48,1390,16.1,0.552,0.373,0.373,2.8,15.3,8.8,17.4,1.7,1.1,9.8,23.8,1.6,0.9,2.5,0.085,0.7,-0.6,0.1,0.7
Alec Burks,SG,28,PHI,18,364,19,0.594,0.461,0.246,3.3,13.7,8.5,16.3,1.6,0,7.5,23.7,0.9,0.4,1.2,0.161,3.1,-1.1,2,0.4
Deonte Burton,SG,26,OKC,39,356,4.3,0.396,0.424,0.112,2.2,15.1,8.8,6.8,1,2.4,12.7,18.5,-0.9,0.4,-0.5,-0.067,-6.3,-0.5,-6.8,-0.4
Jimmy Butler,SF,30,MIA,58,1959,23.6,0.585,0.157,0.693,6.3,15.4,11,28.1,2.6,1.6,11.4,25.1,6.3,2.7,9,0.221,4,1.5,5.4,3.7
Bruno Caboclo,C,24,TOT,30,244,14.1,0.484,0.371,0.101,10,15.8,12.9,6.8,2.9,6.1,12.3,18,0,0.4,0.4,0.076,-3,0.9,-2.1,0
Bruno Caboclo,C,24,MEM,22,192,11.9,0.441,0.362,0.043,9.5,14.5,12.1,7.1,2.4,5.5,9.1,16.8,-0.1,0.3,0.2,0.053,-3.4,0.7,-2.7,0
Bruno Caboclo,C,24,HOU,8,52,22.1,0.618,0.4,0.3,12,20.3,16.1,5.9,4.4,8.2,20.9,22.8,0,0.1,0.2,0.162,-1.4,1.6,0.2,0
Devontae Cacok,C,23,LAL,1,9,28.6,0.5,0,0,24.6,36.1,30.4,20.3,0,0,0,28.1,0,0,0,0.226,4.8,-4.6,0.2,0
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,11,0.584,0.471,0.201,2.4,6.4,4.4,8.5,1.5,0.7,10.1,14.7,1.9,1.9,3.7,0.102,-1.2,0.4,-0.8,0.5
Vlatko Čančar,SF,22,DEN,14,45,11.4,0.507,0.4,0.267,12.5,12.4,12.4,9.1,1.1,2.1,15.2,19.1,0,0,0.1,0.062,-3.4,-1.2,-4.6,0
Clint Capela,C,25,HOU,39,1279,20.6,0.626,0,0.268,13.6,30.5,22,5.7,1.2,4.8,12.7,16.1,2.8,2.1,4.9,0.184,1,0.4,1.4,1.1
DeMarre Carroll,SF-PF,33,TOT,24,290,9.1,0.515,0.5,0.636,4.4,15.8,10.1,11.2,1.3,1.5,16.8,14.8,0,0.2,0.3,0.045,-3.1,-0.7,-3.9,-0.1
DeMarre Carroll,SF,33,SAS,15,135,4.9,0.437,0.448,0.69,5.6,19.2,12.4,10.1,0.7,1.3,20.9,15.3,-0.2,0.1,-0.1,-0.036,-5.9,-1.1,-7,-0.2
DeMarre Carroll,PF,33,HOU,9,155,12.8,0.578,0.541,0.595,3.3,13,8.1,12.2,1.8,1.7,13,14.3,0.2,0.2,0.4,0.114,-0.7,-0.4,-1.1,0
Jevon Carter,PG,24,PHO,58,945,11.3,0.563,0.601,0.111,3.5,10.5,6.9,11.9,2.4,1.6,11.2,12.9,0.8,1,1.8,0.093,-0.7,1.3,0.6,0.6
Vince Carter,SF,43,ATL,60,876,7.5,0.47,0.664,0.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,-0.6,0.4,-0.2,-0.011,-3.1,-1.2,-4.3,-0.5
Wendell Carter Jr.,C,20,CHI,43,1256,15.5,0.59,0.085,0.443,11.6,24.6,17.8,6,1.3,2.7,14.9,16.4,1.7,1.6,3.3,0.127,-2.1,-0.3,-2.4,-0.1
Michael Carter-Williams,SG,28,ORL,45,833,15.3,0.535,0.288,0.365,5.8,13.5,9.5,19.1,2.9,2.4,14.7,18.3,0.7,1.2,1.9,0.111,-1.5,1.6,0.1,0.5
Alex Caruso,PG,25,LAL,64,1175,10.8,0.525,0.412,0.323,1.6,9.8,5.7,13.6,2.8,1.4,13.8,13.8,0.5,1.8,2.3,0.095,-2.6,2.4,-0.2,0.5
Willie Cauley-Stein,C,26,TOT,54,1097,17,0.589,0.003,0.219,8,23.3,15.5,9.9,2.1,5,10.8,14.4,1.5,1.5,2.9,0.128,-1.2,1.7,0.5,0.7
Willie Cauley-Stein,C,26,GSW,41,940,16.2,0.573,0,0.222,7.9,22,14.7,9.9,2.3,4.8,11,14.4,1,1.2,2.2,0.113,-1.6,1.6,0,0.5
Willie Cauley-Stein,C,26,DAL,13,157,22.2,0.684,0.022,0.2,8.8,31,20.1,9.6,1.2,6,9.3,14.7,0.5,0.3,0.7,0.222,0.9,2.2,3.1,0.2
Tyson Chandler,C,37,HOU,26,219,10.8,0.717,0,0.722,11.8,19.8,15.8,3.5,1.3,3.1,25.2,6,0.3,0.3,0.6,0.131,-2.6,1.1,-1.5,0
Wilson Chandler,SF,32,BRK,35,734,7.4,0.531,0.661,0.126,1.6,18.5,10.2,7.3,1,1.4,15,12.9,-0.1,0.9,0.7,0.046,-3.8,1,-2.7,-0.1
Joe Chealey,PG,24,CHO,4,33,-2.9,0.127,0.571,0.286,0,0,0,3.9,6.1,0,20.2,13.2,-0.2,0,-0.1,-0.188,-14.3,1.7,-12.5,-0.1
Zylan Cheatham,SF,24,NOP,4,51,6.7,0.667,0.111,0,6.2,12.5,9.4,7.7,0.9,1.6,30.8,10.4,0,0,0,0.034,-6.5,-0.6,-7.1,-0.1
Chris Chiozza,PG,24,TOT,28,401,12,0.499,0.514,0.036,2.4,11.6,6.9,29.4,2.5,0.9,18.4,18.1,0,0.4,0.5,0.055,-1.6,0.5,-1.2,0.1
Chris Chiozza,PG,24,WAS,10,123,9.2,0.397,0.471,0,0,13.9,6.7,29.2,3.8,1.4,20.9,14.5,-0.1,0.1,0,-0.001,-3.6,2.2,-1.5,0
Chris Chiozza,PG,24,BRK,18,278,13.2,0.531,0.528,0.047,3.4,10.6,7.1,29.5,1.9,0.6,17.5,19.7,0.2,0.3,0.5,0.08,-0.8,-0.3,-1.1,0.1
Marquese Chriss,PF,22,GSW,59,1196,19.5,0.604,0.101,0.405,10,23.6,16.5,15.3,1.6,4.7,14.7,19,2.1,1.3,3.4,0.136,0,0.6,0.6,0.8
Gary Clark,PF,25,TOT,42,567,10.7,0.568,0.835,0.075,6.8,14,10.3,4.1,0.5,3.4,6.8,11,0.7,0.5,1.2,0.1,-0.9,-1,-1.9,0
Gary Clark,PF,25,HOU,18,212,11.8,0.564,0.864,0.119,5.4,14.5,9.9,7.7,0.4,2.8,3.1,12.5,0.4,0.2,0.5,0.123,0.3,-0.9,-0.6,0.1
Gary Clark,PF,25,ORL,24,355,10.1,0.571,0.811,0.041,7.6,13.8,10.6,1.9,0.5,3.8,9.6,10.1,0.3,0.3,0.6,0.087,-1.7,-1,-2.7,-0.1
Brandon Clarke,PF,23,MEM,58,1300,20.9,0.663,0.134,0.234,7.6,20.1,14,9.5,1.1,3.2,9.4,18.7,3.4,1.6,5,0.183,2.4,0.7,3.1,1.7
Jordan Clarkson,SG,27,TOT,71,1705,17.3,0.574,0.476,0.19,3.3,8.7,6.1,13.2,1.3,0.8,9.4,26.3,2.4,1,3.4,0.096,2.4,-1.3,1.1,1.3
Jordan Clarkson,SG,27,CLE,29,666,18.6,0.581,0.488,0.264,3.5,8.1,5.8,17,1.2,1,9.7,25.9,1.4,0.1,1.5,0.107,4.1,-1.4,2.7,0.8
Jordan Clarkson,SG,27,UTA,42,1039,16.5,0.569,0.47,0.146,3.2,9.1,6.3,10.8,1.4,0.6,9.2,26.7,1,0.9,1.9,0.089,1.3,-1.2,0.1,0.5
Nicolas Claxton,PF,20,BRK,15,187,14.8,0.577,0.146,0.438,10.7,13.6,12.2,12.4,0.3,3.6,13.6,14.8,0.3,0.2,0.5,0.121,-0.7,0,-0.6,0.1
Chris Clemons,SG,22,HOU,33,291,13.1,0.548,0.754,0.077,1.4,9.4,5.4,14.3,1.4,1.8,11.5,23.6,0.1,0.2,0.4,0.058,0.3,-1.3,-1,0.1
Antonius Cleveland,SG,25,DAL,11,46,2.5,0.34,0.214,0.357,4.6,11.3,8,2.8,1.1,5.6,11,16.9,-0.1,0,-0.1,-0.076,-9,-1,-10.1,-0.1
Amir Coffey,SG,22,LAC,18,159,8.5,0.493,0.352,0.204,2.7,7.6,5.2,12.3,1.5,1.1,12,17.6,0,0.2,0.1,0.041,-4.2,0.1,-4.1,-0.1
John Collins,PF,22,ATL,41,1363,23.5,0.659,0.243,0.248,9,24,16.4,7.6,1.1,4.1,10.1,22.7,3.8,1.2,4.9,0.174,3.7,-0.6,3.1,1.7
